Section Number,Geographic Name,Height (m),d13C_carb,d18O_carb,d13C_org,D13C,Percent carb.,TOC (%)
D804,"Laframboise
Point",0.1,0.11,-3.64,-28.22,28.33,NaN,NaN
D804,"Laframboise
Point",1.1,0.53,-2.97,-26.4,26.93,NaN,NaN
D804,"Laframboise
Point",2.1,0.6,-3.61,-27.54,28.13,NaN,NaN
D804,"Laframboise
Point",3.1,0.44,-3.66,-28.2,28.64,NaN,NaN
901,"Laframboise
Point",3.3,0.41,-3.91,-27.12,27.53,74.00%,0.45%
901,"Laframboise
Point",3.4,0.54,-3.89,-27.81,28.35,76.60%,0.40%
901,"Laframboise
Point",4,0.74,-3.96,-25.9,26.64,86.10%,0.41%
D804,"Laframboise
Point",4.1,0.29,-3.61,-28.82,29.12,NaN,NaN
901,"Laframboise
Point",4.2,-0.36,-3.97,-28.26,27.9,75.30%,0.28%
901,"Laframboise
Point",4.5,0.32,-4.27,-28.84,29.16,81.20%,0.50%
901,"Laframboise
Point",4.9,0.24,-3.72,-28.78,29.02,79.30%,0.75%
D804,"Laframboise
Point",5.1,0.96,-3.53,-28.35,29.31,NaN,NaN
901,"Laframboise
Point",5.5,0.16,-3.6,-28.9,29.05,79.50%,0.70%
D804,"Laframboise
Point",6.1,0.42,-3.75,-27.98,28.4,NaN,NaN
901,"Laframboise
Point",6.3,0.14,-3.83,-28.58,28.72,89.40%,0.37%
901,"Laframboise
Point",7,0.14,-3.67,-29.08,29.22,80.30%,0.60%
D804,"Laframboise
Point",7.2,0.49,-4.08,-28.68,29.17,NaN,NaN
901,"Laframboise
Point",7.5,0.26,-3.57,-28.96,29.22,85.50%,0.26%
901,"Laframboise
Point",8,0.13,-3.29,-28.49,28.62,87.70%,0.60%
D804,"Laframboise
Point",8.1,0.27,-3.67,-28.53,28.81,NaN,NaN
901,"Laframboise
Point",8.5,0.19,-3.53,-28.98,29.17,81.10%,0.68%
901,"Laframboise
Point",9,0.41,-3.56,-28.65,29.06,77.20%,0.59%
D804,"Laframboise
Point",9.1,0.66,-3.59,-28.12,28.78,NaN,NaN
901,"Laframboise
Point",9.4,0.38,-3.31,-29.21,29.59,66.50%,0.93%
901,Laframboise,10,1.42,-2.86,-27.76,29.18,68.60%,0.74%
,"Point
Laframboise",,,,,,,
D804,Point,10.1,1.7,-1.91,-27.14,28.83,NaN,NaN
,Laframboise,,,,,,,
901,Point,10.3,1.38,-2.91,-27.83,29.22,66.00%,0.82%
,Laframboise,,,,,,,
901,Point,11,1.56,-3.1,-26.43,27.98,75.70%,0.28%
,Laframboise,,,,,,,
D804,Point,11.1,2.05,-2.82,-26.57,28.62,NaN,NaN
,Laframboise,,,,,,,
901,Point,11.5,1.43,-3.66,-27.09,28.53,63.90%,0.28%
,Laframboise,,,,,,,
901,Point,12,2.11,-3.79,-26.8,28.92,74.30%,0.44%
,Laframboise,,,,,,,
D804,Point,12.1,2.7,-2.61,-26.08,28.79,NaN,NaN
,Laframboise,,,,,,,
901,Point,12.2,1.76,-3.96,-26.52,28.27,73.80%,0.77%
,Laframboise,,,,,,,
901,Point,12.5,1.6,-4.1,-26.02,27.63,72.10%,0.58%
,Laframboise,,,,,,,
901,Point,12.7,1.77,-3.99,-25.1,26.87,74.90%,0.37%
,Laframboise,,,,,,,
901,Point,13,1.4,-3.49,-28.92,30.33,88.70%,0.59%
,Laframboise,,,,,,,
901,Point,13.1,2.38,-3.95,-29.5,31.88,96.20%,0.78%
,Laframboise,,,,,,,
D804,Point,13.1,2.22,-2.98,-24.89,27.11,NaN,NaN
,Laframboise,,,,,,,
901,Point,13.5,3.65,-2.7,-28.23,31.88,70.40%,0.68%
,Laframboise,,,,,,,
901,Point,13.5,3.02,-2.66,-23.1,26.12,88.60%,0.27%
,Laframboise,,,,,,,
901,Point,13.7,3.41,-2.29,-26.92,30.33,88.40%,0.88%
,Laframboise,,,,,,,
901,Point,13.7,3.35,-2.1,NaN,NaN,94.70%,0.15%
,Laframboise,,,,,,,
901,Point,14,3.54,-2.82,-26.69,30.23,86.60%,1.19%
,Laframboise,,,,,,,
901,Point,14,3.95,-1.98,NaN,NaN,92.60%,0.22%
,Laframboise,,,,,,,
D804,Point,14.1,3.83,-1.87,-25.97,29.8,NaN,NaN
,Laframboise,,,,,,,
901,Point,14.2,3.59,-2.97,-24.94,28.53,84.10%,0.59%
,Laframboise,,,,,,,
901,Point,14.4,4.61,-1.97,NaN,NaN,94.70%,0.19%
,Laframboise,,,,,,,
901,Point,14.5,3.65,-2.7,-27.49,31.14,89.20%,0.62%
,Laframboise,,,,,,,
901,Point,14.7,3.05,-2.94,-26.04,29.09,88.00%,0.65%
,Laframboise,,,,,,,
901,Point,14.9,3.19,-2.35,-26.48,29.67,82.90%,0.28%
,Laframboise,,,,,,,
