carbon,oxygen,feet,,,,,,,,,,,,,
-0.48,-4.80,130,,,,,,,,,,,,,
-0.21,-4.58,145,,,,,,,,,,,,,
-0.34,-4.97,160,,,,,,,,,,,,,
-0.51,-4.39,175,,,,,,,,,,,,,
-0.68,-4.53,190,,,,,,,,,,,,,
-0.55,-4.96,205,,,,,,,,,,,,,
-0.39,-5.51,220,,,,,,,,,,,,,
-0.49,-4.76,235,,,,,,,,,,,,,
-0.59,-4.92,250,,,,,,,,,,,,,
0.54,-4.57,265,,,,,,,,,,,,,
0.42,-4.30,280,,,,,,,,,,,,,
0.63,-4.42,295,,,,,,,,,,,,,
1.10,-4.12,310,,,,,,,,,,,,,
3.76,-5.27,325,,,,,,,,,,,,,
1.88,-4.54,339,,,,,,,,,,,,,
0.09,-4.85,354,,,,,,,,,,,,,
0.41,-3.85,369,,,,,,,,,,,,,
0.73,-3.65,399,,,,,,,,,,,,,
0.87,-3.56,414,,,,,,,,,,,,,
0.23,-3.99,429,,,,,,,,,,,,,
1.09,-2.58,444,,,,,,,,,,,,,
1.16,-3.67,459,,,,,,,,,,,,,
1.56,-3.91,474,,,,,,,,,,,,,
1.45,-3.72,489,,,,,,,,,,,,,
1.50,-3.49,504,,,,,,,,,,,,,
1.34,-3.55,519,,,,,,,,,,,,,
1.59,-3.39,534,,,,,,,,,,,,,
1.61,-3.68,549,,,,,,,,,,,,,
0.69,-4.34,564,,,,,,,,,,,,,
0.03,-4.02,579,,,,,,,,,,,,,
0.59,-3.86,594,,,,,,,,,,,,,
0.46,-3.98,609,,,,,,,,,,,,,
0.64,-3.87,624,,,,,,,,,,,,,
0.20,-3.80,639,,,,,,,,,,,,,
-0.18,-4.12,654,,,,,,,,,,,,,
0.59,-3.99,669,,,,,,,,,,,,,
0.42,-3.86,684,,,,,,,,,,,,,
0.30,-3.75,699,,,,,,,,,,,,,
0.63,-3.53,714,,,,,,,,,,,,,
0.33,-4.18,729,,,,,,,,,,,,,
-0.02,-4.05,744,,,,,,,,,,,,,
0.02,-3.96,759,,,,,,,,,,,,,
0.36,-5.16,774,,,,,,,,,,,,,
0.32,-4.43,789,,,,,,,,,,,,,
0.37,-4.40,804,,,,,,,,,,,,,
0.45,-4.31,819,,,,,,,,,,,,,
0.05,-4.27,834,,,,,,,,,,,,,
0.45,-4.04,849,,,,,,,,,,,,,
0.24,-3.84,864,,,,,,,,,,,,,
0.38,-4.45,879,,,,,,,,,,,,,
0.20,-4.09,894,,,,,,,,,,,,,
0.22,-4.27,909,,,,,,,,,,,,,
0.26,-3.93,924,,,,,,,,,,,,,
0.44,-4.52,939,,,,,,,,,,,,,
0.34,-4.26,954,,,,,,,,,,,,,
0.25,-4.28,969,,,,,,,,,,,,,
-0.47,-4.63,984,,,,,,,,,,,,,
0.35,-4.19,999,,,,,,,,,,,,,
-0.04,-4.27,1014,,,,,,,,,,,,,
-0.31,-4.17,1029,,,,,,,,,,,,,
0.62,-3.75,1044,,,,,,,,,,,,,
0.04,-4.07,1059,,,,,,,,,,,,,
-0.01,-4.46,1074,,,,,,,,,,,,,
0.00,-4.71,1089,,,,,,,,,,,,,
-0.13,-4.80,1104,,,,,,,,,,,,,
-0.07,-4.25,1120,,,,,,,,,,,,,
0.07,-2.97,1135,,,,,,,,,,,,,
-0.14,-3.35,1150,,,,,,,,,,,,,
-0.04,-4.10,1165,,,,,,,,,,,,,
-0.29,-4.84,1180,,,,,,,,,,,,,
0.07,-4.61,1198,,,,,,,,,,,,,
-0.06,-4.72,1210,,,,,,,,,,,,,
-0.18,-4.54,1225,,,,,,,,,,,,,
-0.08,-4.63,1240,,,,,,,,,,,,,
-0.02,-4.70,1255,,,,,,,,,,,,,
0.33,-4.49,1270,,,,,,,,,,,,,
-0.60,-4.68,1285,,,,,,,,,,,,,
-0.08,-4.59,1300,,,,,,,,,,,,,
-0.57,-4.99,1315,,,,,,,,,,,,,
-0.44,-4.70,1330,,,,,,,,,,,,,
-0.52,-4.88,1345,,,,,,,,,,,,,
-1.00,-4.94,1360,,,,,,,,,,,,,
-0.92,-5.23,1375,,,,,,,,,,,,,
-0.57,-4.88,1390,,,,,,,,,,,,,
-0.67,-5.05,1405,,,,,,,,,,,,,
-0.64,-5.03,1419,,,,,,,,,,,,,
-0.67,-4.95,1434,,,,,,,,,,,,,
-0.71,-5.14,1449,,,,,,,,,,,,,
-0.59,-5.31,1469,,,,,,,,,,,,,
-0.60,-5.21,1479,,,,,,,,,,,,,
-0.58,-4.87,1494,,,,,,,,,,,,,
-0.37,-5.07,1509,,,,,,,,,,,,,
-0.40,-5.10,1524,,,,,,,,,,,,,
-0.49,-5.26,1539,,,,,,,,,,,,,
-0.42,-5.07,1554,,,,,,,,,,,,,
-0.64,-5.18,1569,,,,,,,,,,,,,
-0.19,-4.51,1584,,,,,,,,,,,,,
-0.49,-5.06,1599,,,,,,,,,,,,,
-0.16,-4.75,1614,,,,,,,,,,,,,
-0.08,-5.12,1629,,,,,,,,,,,,,
-0.17,-5.25,1644,,,,,,,,,,,,,
-0.43,-4.69,1659,,,,,,,,,,,,,
-0.33,-4.69,1674,,,,,,,,,,,,,
-0.41,-5.16,1689,,,,,,,,,,,,,
0.18,-4.35,1704,,,,,,,,,,,,,
-0.28,-5.10,1719,,,,,,,,,,,,,
0.03,-4.78,1734,,,,,,,,,,,,,
-0.22,-4.98,1749,,,,,,,,,,,,,
-0.37,-4.99,1764,,,,,,,,,,,,,
-0.61,-5.15,1779,,,,,,,,,,,,,
-0.42,-4.78,1794,,,,,,,,,,,,,
-1.38,-4.88,1809,,,,,,,,,,,,,
-1.42,-4.67,1824,,,,,,,,,,,,,
0.00,-4.55,1839,,,,,,,,,,,,,
-0.74,-4.28,1854,,,,,,,,,,,,,
-0.04,-4.73,1869,,,,,,,,,,,,,
-1.20,-5.03,1884,,,,,,,,,,,,,
-0.29,-4.93,1899,,,,,,,,,,,,,
-3.71,-4.82,1917,,,,,,,,,,,,,
-0.31,-4.54,1929,,,,,,,,,,,,,
-0.28,-4.70,1929,,,,,,,,,,,,,
-0.57,-4.58,1944,,,,,,,,,,,,,
-0.52,-4.54,1944,,,,,,,,,,,,,
-0.56,-4.88,1959,,,,,,,,,,,,,
-0.09,-4.36,1974,,,,,,,,,,,,,
-0.16,-4.64,1974,,,,,,,,,,,,,
-0.05,-4.78,1989,,,,,,,,,,,,,
0.07,-4.79,1989,,,,,,,,,,,,,
-0.49,-4.56,2004,,,,,,,,,,,,,
-0.40,-4.47,2004,,,,,,,,,,,,,
-0.11,-4.94,2016,,,,,,,,,,,,,
-0.19,-5.19,2016,,,,,,,,,,,,,
0.28,-4.71,2034,,,,,,,,,,,,,
0.25,-4.87,2034,,,,,,,,,,,,,
-0.06,-4.49,2049,,,,,,,,,,,,,
0.06,-4.53,2049,,,,,,,,,,,,,
0.59,-4.54,2064,,,,,,,,,,,,,
0.67,-4.49,2064,,,,,,,,,,,,,
0.28,-4.78,2079,,,,,,,,,,,,,
0.43,-5.23,2094,,,,,,,,,,,,,
0.42,-5.39,2094,,,,,,,,,,,,,
0.48,-4.51,2109,,,,,,,,,,,,,
0.51,-4.63,2109,,,,,,,,,,,,,
0.63,-4.41,2124,,,,,,,,,,,,,
0.65,-4.59,2124,,,,,,,,,,,,,
0.42,-4.47,2139,,,,,,,,,,,,,
0.53,-4.36,2139,,,,,,,,,,,,,
0.40,-4.68,2154,,,,,,,,,,,,,
0.34,-4.90,2154,,,,,,,,,,,,,
-0.03,-4.99,2169,,,,,,,,,,,,,
0.02,-5.09,2169,,,,,,,,,,,,,
0.74,-4.22,2184,,,,,,,,,,,,,
0.82,-4.16,2184,,,,,,,,,,,,,
0.73,-4.69,2199,,,,,,,,,,,,,
0.70,-5.11,2214,,,,,,,,,,,,,
0.71,-5.18,2214,,,,,,,,,,,,,
1.10,-4.83,2229,,,,,,,,,,,,,
0.88,-4.69,2247,,,,,,,,,,,,,
0.79,-5.00,2247,,,,,,,,,,,,,
0.75,-5.08,2259,,,,,,,,,,,,,
0.87,-5.00,2259,,,,,,,,,,,,,
0.35,-5.01,2274,,,,,,,,,,,,,
0.85,-5.24,2289,,,,,,,,,,,,,
1.14,-5.00,2289,,,,,,,,,,,,,
1.03,-5.05,2304,,,,,,,,,,,,,
1.12,-4.98,2304,,,,,,,,,,,,,
0.97,-5.23,2319,,,,,,,,,,,,,
