Locality,Height (m),d13C_carb,d18O_carb
Ruisseau a la Batterie,-3,0.26,-3.42
Ruisseau a la Batterie,-2.5,0.55,-3.53
Ruisseau a la Batterie,-2,-0.26,-3.75
Ruisseau a la Batterie,-1.5,0.45,-4.26
Ruisseau a la Batterie,-0.7,0.19,-3.77
Ruisseau a la Batterie,-0.3,-0.35,-5.23
Ruisseau a la Batterie,0,-0.38,-3.7
Ruisseau a la Batterie,-12.5,0.2,-3.84
Ruisseau a la Batterie,-11.8,0.52,-4.04
Ruisseau a la Batterie,-11.3,0.43,-4.18
Ruisseau a la Batterie,-11,1.69,-4.08
Ruisseau a la Batterie,-10.6,0.6,-3.26
Ruisseau a la Batterie,-10.1,1.75,-3.41
Ruisseau a la Batterie,-9.5,1.83,-2.9
Ruisseau a la Batterie,-9,1.43,-3.73
Ruisseau a la Batterie,-8,0.75,-5.8
Ruisseau a la Batterie,-7,0.44,-4.82
Ruisseau a la Batterie,-6.5,-0.02,-3.08
Ruisseau a la Batterie,-6.3,-0.35,-4.62
Ruisseau a la Batterie,-6,-0.27,-5.14
Ruisseau a la Batterie,-5.5,-0.36,-5.31
Ruisseau a la Batterie,-4.7,-0.62,-6.68
Ruisseau a la Batterie,-4.5,-0.18,-3.42
Ruisseau a la Batterie,-4,0.48,-3.04
Ruisseau a la Batterie,-3.5,0.33,-3.95
Ruisseau a la Batterie,-3,0.39,-3.83
Ruisseau a la Batterie,-2.6,0.03,-3.97
Ruisseau a la Batterie,-2,-0.5,-4.25
Ruisseau a la Batterie,-1.5,0.63,-3.68
Ruisseau a la Batterie,-1,-0.48,-4.45
Ruisseau a la Batterie,-0.6,-0.42,-4.86
Ruisseau a la Batterie,-0.15,-0.28,-4.94
Ruisseau a la Batterie,0.01,-0.23,-3.59
Ruisseau a la Batterie,0.35,0.47,-3.49
Ruisseau a la Batterie,0.5,0.44,-3.29
Ruisseau a la Batterie,-7.5,0.47,-3.26
Ruisseau a la Batterie,1,0.33,-3.81
Ruisseau a la Batterie,-6.9,0.66,-3.4
Ruisseau a la Batterie,-6.5,0.13,-3.78
Ruisseau a la Batterie,-6,0.56,-3.11
Ruisseau a la Batterie,-5.5,0.54,-3.2
Ruisseau a la Batterie,-5,0.81,-3
Ruisseau a la Batterie,-4.5,0.77,-3.25
Ruisseau a la Batterie,-4,0.62,-3.56
Ruisseau a la Batterie,-3.55,0.61,-3.46
Ruisseau a la Batterie,-3,0.63,-3.39
Ruisseau a la Batterie,-2.5,0.83,-3.24
Ruisseau a la Batterie,-1.5,0.76,-3.77
Ruisseau a la Batterie,-1,1.16,-4.35
Ruisseau a la Batterie,-0.5,0.99,-3.93
Ruisseau a la Batterie,-0.3,2.15,-4.52
Ruisseau a la Batterie,-0.2,2.89,-4.67
Ruisseau a la Batterie,-0.1,2.86,-4.86
Ruisseau a la Batterie,0,3.33,-4.06
Ruisseau a la Batterie,0.4,3.1,-4.69
Ruisseau a la Batterie,0.6,4.05,-2.81
Ruisseau a la Batterie,0.8,4.17,-2.84
Ruisseau a la Batterie,1,4.01,-3.58
Ruisseau a la Batterie,1.2,3.4,-4.52
Ruisseau a la Batterie,1.4,3.78,-2.99
Ruisseau a la Batterie,1.6,3.51,-3.92
Ruisseau a la Batterie,1.8,3.6,-3.98
Ruisseau a la Batterie,2,3,-4
Ruisseau a la Batterie,2.2,2.78,-3.88
Anse Mauvaise,-25.7,-1.98,-10.52
Anse Mauvaise,-25.3,-1.9,-9.88
Anse Mauvaise,-24.7,-2.51,-7.85
Anse Mauvaise,-24.45,-1.78,-6.03
Anse Mauvaise,-23.7,-1.75,-7.1
Anse Mauvaise,-16.1,-1.34,-4.66
Anse Mauvaise,-15.8,-1.01,-5.44
Anse Mauvaise,-15.6,-0.9,-4.92
Anse Mauvaise,-22.2,-1.89,-4.42
Anse Mauvaise,-15.2,-0.75,-4.99
Anse Mauvaise,-14.7,-0.91,-4.58
Anse Mauvaise,-14.4,-1.83,-4.2
Anse Mauvaise,-14.3,-2.03,-4
Anse Mauvaise,-14,-1.25,-4.51
Anse Mauvaise,-13.6,0.02,-4.25
Anse Mauvaise,-13.3,0.24,-3.94
Anse Mauvaise,-13,-0.53,-5.48
Anse Mauvaise,-13,-0.07,-4.3
Anse Mauvaise,-12.5,-0.08,-4.82
Anse Mauvaise,-12.5,0.17,-4.63
Anse Mauvaise,-12.3,-0.2,-5.19
Anse Mauvaise,-12.2,-0.44,-4.67
Anse Mauvaise,-11.9,-0.36,-3.59
Anse Mauvaise,-11.6,0.28,-3.54
Anse Mauvaise,-11.4,-0.19,-3.77
Anse Mauvaise,-11.3,-0.97,-4.05
Anse Mauvaise,-11,0.96,-4.05
Anse Mauvaise,-10.7,0.23,-7.05
Anse Mauvaise,-10.5,0.6,-5.44
Anse Mauvaise,-10.2,0.61,-5.14
Anse Mauvaise,-10.1,0.53,-5.59
Anse Mauvaise,-16.8,0.76,-4.16
Anse Mauvaise,-9.9,0.53,-4.06
Anse Mauvaise,-9.7,0.74,-4.94
Anse Mauvaise,-9.3,0.19,-4.78
Anse Mauvaise,-9,0.37,-4.24
Anse Mauvaise,-8.7,0.31,-4.76
Anse Mauvaise,-8.5,0.24,-4.47
Anse Mauvaise,-8.3,0.67,-5.34
Anse Mauvaise,-8.1,0.65,-4.51
Anse Mauvaise,-7.9,1.12,-3.62
Anse Mauvaise,-7.6,0.67,-4.73
Anse Mauvaise,-7.4,1.18,-3.95
Anse Mauvaise,-7.2,1.19,-4.02
Anse Mauvaise,-7,1.07,-4.15
Anse Mauvaise,-6.7,1.14,-4.87
Anse Mauvaise,-6.4,1.63,-4.04
Anse Mauvaise,-6.3,1.6,-3.88
Anse Mauvaise,-6,1.57,-3.79
Anse Mauvaise,-5.8,1.34,-3.91
Anse Mauvaise,-5.45,1.52,-4.09
Anse Mauvaise,-5.1,1.25,-4.26
Anse Mauvaise,-4.9,0.67,-6.45
Anse Mauvaise,-4.6,1.12,-4.15
Anse Mauvaise,-4.3,0.47,-7.84
Anse Mauvaise,-4,0.66,-5.31
Anse Mauvaise,-3.6,0.62,-6.29
Anse Mauvaise,-3.4,0.98,-4.15
Anse Mauvaise,-3.2,0.51,-6.17
Anse Mauvaise,-2.5,0.22,-4.84
Anse Mauvaise,-2.4,0.18,-3.97
Anse Mauvaise,-2.1,0.63,-2.96
Anse Mauvaise,-1.9,-1,-3.44
Anse Mauvaise,-1.8,0.7,-2.92
Anse Mauvaise,-1.5,-1.23,-2.87
Anse Mauvaise,-1.2,0.39,-3.11
Anse Mauvaise,-0.7,0.29,-2.83
Anse Mauvaise,-5.8,0.24,-5.84
Anse Mauvaise,-4.5,0.04,-6.24
Anse Mauvaise,-0.01,0.43,-3.92
Anse Mauvaise,-0.01,0.59,-3.21
Ruisseau Macaire,-11,-0.24,-4.69
Ruisseau Macaire,-10.5,0.07,-5.09
Ruisseau Macaire,-9.9,0.04,-5.05
Ruisseau Macaire,-9.2,-0.93,-3.88
Ruisseau Macaire,-8.65,0.24,-4.46
Ruisseau Macaire,-8.2,0.09,-5.33
Ruisseau Macaire,-7.5,0.13,-4.2
Ruisseau Macaire,-7.3,0.07,-5.36
Ruisseau Macaire,-7,-0.34,-4.35
Ruisseau Macaire,-6.5,-0.02,-4.66
Ruisseau Macaire,-5.5,0.11,-5.96
Ruisseau Macaire,-4.5,0.19,-4.94
Ruisseau Macaire,-4,-0.21,-3.42
Ruisseau Macaire,-3.5,0.06,-6.67
Ruisseau Macaire,-2.9,-0.3,-3.92
Ruisseau Macaire,-2.5,0.07,-4.47
Ruisseau Macaire,-1.8,0.27,-6
Ruisseau Macaire,-1.5,0.69,-3.27
Ruisseau Macaire,-1,0.74,-3.32
Ruisseau Macaire,-11,1.76,-4.16
Ruisseau Macaire,-10.5,2.53,-3.03
Ruisseau Macaire,-10,1.46,-4.84
Ruisseau Macaire,-9.5,0.93,-4.75
Ruisseau Macaire,-9,1.24,-2.78
Ruisseau Macaire,-8.5,0.98,-3.78
Ruisseau Macaire,-8,1.28,-3.08
Ruisseau Macaire,-7.5,0.97,-4.55
Ruisseau Macaire,-7,0.9,-5.39
Ruisseau Macaire,-6.5,0.97,-5.59
Ruisseau Macaire,-6.5,0.83,-4.37
Ruisseau Macaire,-5.7,0.23,-6.81
Ruisseau Macaire,-5.4,0.21,-6.4
Ruisseau Macaire,-5.1,0.42,-6.13
Ruisseau Macaire,-4.8,0.64,-6.17
Ruisseau Macaire,-4.6,0.16,-5.76
Ruisseau Macaire,-4,0,-4.64
Ruisseau Macaire,-3.5,0.53,-6.86
Ruisseau Macaire,-2.9,0.27,-7.1
Ruisseau Macaire,-2.5,0.22,-3.82
Ruisseau Macaire,-2,0.11,-5.21
Ruisseau Macaire,-1.5,0.84,-3.57
Ruisseau Macaire,-9.2,-0.43,-4.5
Ruisseau Macaire,-0.9,0.48,-5.22
Ruisseau Macaire,-9.6,0.7,-3.97
Ruisseau Macaire,-9.25,-0.27,-4.52
Ruisseau Macaire,-8.75,-0.29,-4.14
Ruisseau Macaire,-8.25,0.41,-3.58
Ruisseau Macaire,-7.75,-0.25,-4.79
Ruisseau Macaire,-4.75,0.39,-3.67
Ruisseau Macaire,-4.25,-0.08,-4.41
Ruisseau Macaire,-3.75,0.05,-4.35
Ruisseau Macaire,-3.25,0.42,-3.6
Ruisseau Macaire,-2.75,0.44,-3.84
Ruisseau Macaire,-2,-0.05,-4.82
Ruisseau Macaire,-1.5,0.26,-4.81
Ruisseau Macaire,-0.8,-0.67,-5.35
Ruisseau Macaire,-0.5,-0.25,-4.85
Ruisseau Macaire,0.01,1.17,-5.29
Ruisseau Macaire,0.01,0.47,-4.07
