Sample # ,d18o,d13c,Stratigraphic level (m),Lithology ,Formation,UTM ,GPS X,GPS Y
V1 ,-4.53,-0.5,0,calcilutite ,Vaureal,20U ,395825,5530349
V2 ,-5.73,-0.77,0.684,calcisiltite ,Vaureal,,,
V3 ,-5.1,-0.48,1.368,calcilutite ,Vaureal,20U ,395824,5530319
V4 ,-4.89,-0.57,2.052,calcilutite ,Vaureal,,,
V5 ,-5.06,-0.4,2.736,calcisiltite ,Vaureal,,,
V6 ,-4.23,-0.34,3.42,calcisiltite ,Vaureal,20U ,395823,5530214
V7 ,-4.46,-0.33,4.104,calcilutite ,Vaureal,,,
V8 ,-4.63,-0.52,4.788,calcilutite ,Vaureal,20U ,395784,5530144
V9 ,-4.8,-0.58,5.472,calcisiltite ,Vaureal,,,
V10 ,-4.07,-0.38,6.156,calcisiltite ,Vaureal,20U ,395542,5530092
V12 ,-4.12,-0.53,6.84,calcisiltite ,Vaureal,,,
V13 ,-4.35,-0.51,7.524,calcilutite ,Vaureal,,,
V14 ,-4.06,-0.44,8.208,calcisiltite ,Vaureal,20U ,394398,5529976
V15 ,-4.11,-0.39,8.892,calcilutite ,Vaureal,,,
V16 ,-4.3,-0.07,9.576,calcisiltite ,Vaureal,,,
V17 ,-4.38,-0.21,10.26,calcilutite ,Vaureal,20U ,394352,5529934
V18 ,-4.67,-0.6,10.944,calcilutite ,Vaureal,,,
V19 ,-4.66,-0.1,11.628,calcilutite ,Vaureal,,,
V20 ,-4.33,-0.4,12.312,calcilutite ,Vaureal,20U ,394393,5529839
V21 ,-5.06,-0.34,12.996,calcisiltite ,Vaureal,,,
V22 ,-4.98,-0.33,13.68,calcisiltite ,Vaureal,,,
V23 ,-4.3,-0.3,14.364,calcilutite ,Vaureal,20U ,394355,5529741
V24 ,-4.79,-0.2,15.048,calcisiltite ,Vaureal,,,
V25 ,-4.05,-0.11,15.561,calcisiltite ,Vaureal,,,
V26 ,-4.55,-0.01,16.074,calcilutite ,Vaureal,20U ,394390,5529601
V28 ,-3.96,0.14,16.758,calcisiltite ,Vaureal,,,
V29 ,-4.57,-0.22,17.442,calcilutite ,Vaureal,,,
V30 ,-3.94,0.14,18.126,calcisiltite ,Vaureal,,,
V31 ,-4.42,-0.35,18.81,calcilutite ,Vaureal,,,
V32 ,-3.9,0.11,19.494,calcisiltite ,Vaureal,20U ,393866,5529499
V33 ,-4.52,-0.36,20.178,calcisiltite ,Vaureal,,,
V34 ,-4.63,-0.25,20.862,calcisiltite ,Vaureal,20U ,393824,5529404
V36 ,-5.14,-0.31,21.546,calcilutite ,Vaureal,,,
V37 ,-4.06,-0.22,22.23,calcisiltite ,Vaureal,20U ,393835,5529346
V38 ,-3.69,-0.02,22.914,calcisiltite ,Vaureal,,,
V39 ,-4.44,-0.37,23.598,calcisiltite ,Vaureal,20U ,393839,5529299
V40 ,-4.32,-0.28,24.282,calcilutite ,Vaureal,20U ,393838,5529263
V41 ,-4.05,-0.5,24.966,calcilutite ,Vaureal,20U ,393832,5529235
V42 ,-3.83,-0.23,25.65,calcilutite ,Vaureal,20U ,393828,5529198
V43 ,-4.37,-0.51,26.334,calcisiltite ,Vaureal,,,
V44 ,-4.1,0.03,27.018,calcilutite ,Vaureal,,,
V46 ,-4.22,-0.18,27.702,calcisiltite ,Vaureal,20U ,393387,5529192
V47 ,-4.56,-0.31,28.386,calcilutite ,Vaureal,,,
V48 ,-4.57,-0.4,29.07,calcilutite ,Vaureal,,,
V49 ,-4,-0.22,29.754,calcilutite ,Vaureal,20U ,393379,5529109
V50 ,-3.97,-0.22,30.438,calcisiltite ,Vaureal,,,
V51 ,-4.16,-0.29,31.122,calcisiltite ,Vaureal,,,
V52 ,-4.09,-0.34,31.806,calcisiltite ,Vaureal,,,
V53 ,-3.63,0,32.49,calcisiltite ,Vaureal,20U ,393329,5528976
V54 ,-3.92,-0.08,32.49,calcisiltite ,Vaureal,20U ,393068,5529033
V57 ,-4.65,-0.37,33.174,calcilutite ,Vaureal,,,
V58 ,-3.9,0.15,33.858,calcisiltite ,Vaureal,,,
V59 ,-4.22,-0.29,34.542,calcisiltite ,Vaureal,,,
V60 ,-4.41,-0.42,35.226,calcilutite ,Vaureal,20U ,393030,5528922
V61 ,-3.79,0.03,35.91,calcisiltite ,Vaureal,,,
V62 ,-4.08,0.09,36.594,calcisiltite ,Vaureal,,,
V63 ,-4.3,-0.04,37.278,calcisiltite ,Vaureal,,,
V64 ,-3.78,0.26,37.962,calcilutite ,Vaureal,20U ,392923,5528827
V65 ,-3.53,0.11,38.646,calcisiltite ,Vaureal,20U ,392917,5528791
V66 ,-3.78,0.15,39.33,calcilutite ,Vaureal,,,
V67 ,-4.08,0.15,40.014,calcisiltite ,Vaureal,,,
V68 ,-3.92,0.22,40.698,calcisiltite ,Vaureal,,,
V69 ,-4.33,0.07,41.04,calcisiltite ,Vaureal,20U ,392864,5528692
V70 ,-4.43,0.15,41.382,calcisiltite ,Vaureal,,,
V71 ,-4.19,0.14,42.066,calcisiltite ,Vaureal,,,
V72 ,-4.03,0.31,42.75,calcilutite ,Vaureal,20U ,392830,5528630
V73 ,-3.71,0.54,43.434,calcisiltite ,Vaureal,,,
V74 ,-3.68,0.58,44.118,calcisiltite ,Vaureal,20U ,392809,5528549
V76 ,-4.45,0.16,44.802,calcilutite ,Vaureal,,,
V77 ,-4.06,0.5,45.486,calcilutite ,Vaureal,,,
V79 ,-3.68,0.77,45.828,calcisiltite ,Vaureal,20U ,392780,5528482
V81 ,-4.63,0.1,46.512,calcisiltite ,Vaureal,,,
V82 ,-4.34,0.34,47.196,calcisiltite ,Vaureal,,,
