unit_id,section_id,col_id,project_id,col_area,unit_name,strat_name_id,Mbr,Fm,Gp,SGp,t_age,b_age,max_thick,min_thick,outcrop,pbdb_collections,pbdb_occurrences
18869,4946,620,1,20728.463,"Unnamed",,"","","","",0,0.0088,0,0,"",0,0
38244,9898,1659,1,28002.219,"unnamed",,"","","","",0,0.0117,0,0,"",0,0
10998,2930,408,1,13323.086,"Unnamed",,"","","","",0,0.0117,100,0,"surface",0,0
6331,1528,204,1,3128.253,"Unnamed",,"","","","",0,0.0117,30,0,"surface",0,0
17649,4577,549,1,10123.899,"Unnamed",,"","","","",0,2.58,0,0,"surface",0,0
32435,8006,1408,4,2810.958,"siliceous ooze",,"","","","",0,2,16.7,16.7,"subsurface",0,0
33169,7711,1431,1,47638.801,"unnamed",,"","","","",0,0.0117,0,0,"",0,0
18117,4656,573,1,5188.256,"Unnamed",,"","","","",0,0.0117,120,0,"both",0,0
8648,2173,319,1,31099.488,"Unnamed",,"","","","",0,0.0117,0,0,"surface",0,0
8599,2146,316,1,91531.086,"Unnamed",,"","","","",0,0.4398,0,0,"surface",0,0
6263,1509,199,1,4602.641,"Unnamed",,"","","","",0,0.0117,70,0,"surface",0,0
9343,2352,338,1,22908.043,"Unnamed",,"","","","",0,0.0117,10,0,"surface",0,0
26625,7818,1302,4,2810.332,"sand",,"","","","",0,2.6,0.8,0.8,"subsurface",0,0
29700,7652,1365,4,2810.211,"calcareous ooze",,"","","","",0,0.575,6.4,6.4,"subsurface",0,0
9307,2346,337,1,43154.691,"Unnamed",,"","","","",0,0.0117,15,0,"surface",0,0
2523,456,70,1,43060.656,"Unnamed",,"","","","",0,0.0117,0,0,"",0,0
22862,6427,819,1,16028.022,"alluvium",,"","","","",0,0.6538,0,0,"",0,0
26952,7841,1308,4,2811.437,"calcareous ooze",,"","","","",0,0.5,4.5,4.5,"subsurface",0,0
13133,3132,433,1,27448.68,"Cahokia Alluvium",7505,"","Cahokia Alluvium","","",0,0.1401,20,0,"both",0,0
7048,1788,260,1,5309.745,"Unnamed",,"","","","",0,0.0117,0,0,"surface",0,0
5478,1295,170,1,19926.004,"Unnamed",,"","","","",0,0.0117,0,0,"",0,0
14058,3727,467,1,17942.957,"Unnamed",,"","","","",0,0.0117,0,0,"surface",0,0
14719,3909,481,1,7023.558,"Unnamed",,"","","","",0,0.0117,0,0,"surface",0,0
6743,1688,241,1,13084.454,"Unnamed",,"","","","",0,0.0117,0,0,"surface",0,0
25525,7461,1208,7,2947.121,"unnamed",,"","","","",0,0.0117,0,0,"",0,0
34249,8498,1475,1,39087.719,"unnamed",,"","","","",0,0.6538,0,0,"",0,0
33528,8136,1444,1,12823.066,"unnamed",,"","","","",0,0.0088,0,0,"",0,0
18464,4762,589,1,37388.184,"alluvium",,"","","","",0,0.0088,0,0,"",0,0
17351,4462,539,1,41813.121,"Unnamed",,"","","","",0,0.8678,0,0,"both",0,0
27413,7612,1325,4,2808.949,"calcareous ooze",,"","","","",0,0.015,3.6,3.6,"subsurface",0,0
36915,9436,1615,1,11402.866,"unnamed",,"","","","",0,0.0117,0,0,"",0,0
13528,3584,456,1,32141.57,"Unnamed",,"","","","",0,0.0117,200,0,"surface",0,0
34518,8627,1493,1,12013.19,"unnamed",,"","","","",0,0.0088,0,0,"",0,0
6583,1614,228,1,5942.809,"Unnamed",,"","","","",0,0.4398,305,0,"",1,64
10412,2691,377,1,5747.699,"Wisconsin Tills",,"","","","",0,2.58,0,0,"",0,0
33288,7751,1421,1,76726.102,"unnamed",,"","","","",0,0.0117,0,0,"",0,0
37897,9736,1643,1,33847.977,"unnamed",,"","","","",0,0.0117,0,0,"",0,0
6560,1605,225,1,4479.276,"Unnamed",,"","","","",0,0.4398,15,0,"surface",0,0
9230,2329,335,1,40610.836,"Unnamed",,"","","","",0,2.58,0,0,"",0,0
39910,10577,1746,8,142512.25,"unnamed",,"","","","",0,0.0117,2,0,"",0,0
18559,4799,594,1,5411.847,"Unnamed",,"","","","",0,0.0088,0,0,"",0,0
34670,8671,1498,1,5785.496,"unnamed",,"","","","",0,0.0117,0,0,"",0,0
37417,9589,1631,1,14667.74,"unnamed",,"","","","",0,0.0117,0,0,"",0,0
25259,7331,1171,7,6744.407,"unnamed",,"","","","",0,0.0117,0,0,"",0,0
29694,7651,1364,4,2811.336,"calcareous ooze",,"","","","",0,2.6,50.5,50.5,"subsurface",0,0
3749,744,97,1,23483.41,"Surficial Deposits",,"","","","",0,0.0117,0,0,"",0,0
11412,3074,430,1,26098.557,"Unnamed",,"","","","",0,0.2257,0,0,"surface",0,0
25663,7492,1230,7,112.293,"unnamed",,"","","","",0,0.0117,0,0,"",0,0
34573,8646,1496,1,9518.608,"unnamed",,"","","","",0,0.0088,0,0,"",0,0
13037,3441,450,1,14622.862,"Unnamed",,"","","","",0,0.3327,24,0,"surface",0,0
14566,3864,479,1,12418.071,"Unnamed",,"","","","",0,0.0117,0,0,"surface",0,0
13196,3152,435,1,26387.043,"Cahokia Alluvium",7505,"","Cahokia Alluvium","","",0,0.1315,20,0,"both",0,0
