unit_id,section_id,col_id,project_id,col_area,unit_name,strat_name_id,Mbr,Fm,Gp,SGp,t_age,b_age,max_thick,min_thick,outcrop,pbdb_collections,pbdb_occurrences
5806,1355,168,1,28588.275,"Interior Ouachita Facies",,"","","","",312,471.925,3000,0,"",0,0
5783,1348,167,1,23758.977,"Frontal Ouachita Facies",,"","","","",312,470,8000,0,"",0,0
5805,1355,168,1,28588.275,"Frontal Ouachita Facies",,"","","","",312,471.925,3000,0,"",0,0
34160,8468,1478,1,19764.262,"Nisutlin Allochthon",9455,"","Nisutlin Allochthon","","",322.15,798.1323,1875,0,"",0,0
5784,1348,167,1,23758.977,"Interior Ouachita Facies",,"","","","",343.5,470,2950,0,"",0,0
34492,8619,1492,1,22184.869,"lower Eagle Bay Fm",9629,"","Eagle Bay","","",355.85,517.95,1000,1000,"",0,0
4819,1036,124,1,15681.1,"Unnamed",,"","","","",358.9,635,0,0,"subsurface",0,0
34510,8629,1493,1,12013.19,"Snowshoe",8175,"","","Snowshoe","",358.9,495.725,1000,1000,"",0,0
34162,8468,1478,1,19764.262,"unnamed",,"","","","",380.075,491.3166,1000,1000,"",0,0
34282,8534,1484,1,21183.588,"Niasina Fm",9602,"","Niasina","","",380.075,490.725,1000,500,"",0,0
17264,4411,536,1,10206.845,"Unnamed",,"","","","",382.7,470,0,0,"subsurface",0,0
34123,8511,1475,1,39087.719,"Jones Ridge",9553,"","Jones Ridge","","",383.95,456.05,0,0,"",0,0
34122,8511,1475,1,39087.719,"Road River",9547,"","","Road River","",383.95,471.925,0,0,"",12,104
7409,1952,288,1,24727.209,"Skajit Limestone",3810,"","Skajit Limestone","Baird","",383.95,464,1000,0,"surface",0,0
38480,10003,1672,1,25621.615,"Upper Road River Fm",1749,"","Road River","","",386.45,475.775,1000,1000,"",3,72
3717,734,96,1,16862.484,"Franklinian Sequence",,"","","","",387.7,464,0,0,"subsurface",0,0
1087,146,36,1,27287.484,"Franklinian Sequence",,"","","","",387.7,464,0,0,"subsurface",0,0
3713,732,95,1,9473.32,"Franklinian Sequence",,"","","","",387.7,464,0,0,"subsurface",0,0
3738,741,97,1,23483.41,"Franklinian Sequence",,"","","","",387.7,464,0,0,"subsurface",0,0
3669,722,94,1,17893.213,"Franklinian Sequence",,"","","","",387.7,464,0,0,"subsurface",0,0
10767,2840,396,1,29079.834,"Road River Fm",1749,"","Road River","","",388.6334,464.75,300,120,"surface",27,435
10747,2834,395,1,21481.9,"Unnamed",,"","","","",389.1,562.85,3000,2000,"surface",0,0
10770,2840,396,1,29079.834,"Upper Mbr of Jones Ridge Limestone",3653,"","Jones Ridge Limestone","","",389.5666,450.25,0,0,"",7,37
33478,8112,1442,1,14164.106,"unnamed",,"","","","",391.9,483.475,0,0,"",0,0
8697,2187,322,1,111482.031,"Unnamed",,"","","","",391.9,458.4,0,0,"",0,0
10855,2869,323,1,75593.242,"Unnamed",,"","","","",391.9,459.352,0,0,"",0,0
38188,9876,1657,1,30825.119,"Upper Road River Fm",1749,"","Road River","","",392.04,483.475,1000,1000,"",0,0
11187,3018,425,1,15178.011,"Descon Fm",523,"","Descon","","",407.6,470,3000,0,"",10,196
38163,9866,1656,1,10998.663,"Upper Road River Fm",1749,"","Road River","","",408.4,444.15,240,240,"",1,1
35498,8943,1543,1,8244.465,"Cape Phillips Fm",4996,"","Cape Phillips","","",408.4,449.25,940,940,"",0,0
34070,8441,1473,1,18083.461,"unnamed",,"","","","",412.9,479.625,0,0,"",0,0
35543,8949,1545,1,7032.232,"Cape Phillips Fm",4996,"","Cape Phillips","","",416.4,449.25,300,300,"",0,0
33479,8112,1442,1,14164.106,"unnamed",,"","","","",416.4,461.125,0,0,"",0,0
